"order_date","customer_id","customer_name","segment","product_name","discount","sum_discount","row_id"
"2018-07-23","NF-18475","Neil Franz�sisch","Home Office","GBC Laser Imprintable Binding System Covers, Desert Sand","0.80","0.80","4237"
"2019-02-09","TP-21415","Tom Prescott","Consumer","Belkin F9S820V06 8 Outlet Surge","0.80","0.80","3088"
"2016-10-17","TB-21520","Tracy Blumstein","Consumer","GBC Standard Recycled Report Covers, Clear Plastic Sheets","0.80","0.80","6874"
"2016-07-26","LF-17185","Luke Foster","Consumer","Acco 6 Outlet Guardian Standard Surge Suppressor","0.80","0.80","9780"
"2018-03-06","LC-16870","Lena Cacioppo","Consumer","Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags","0.80","0.80","8982"
"2016-11-07","TC-20980","Tamara Chand","Corporate","Satellite Sectional Post Binders","0.80","0.80","3186"
"2016-12-02","MC-17575","Matt Collins","Consumer","Staple holder","0.80","0.80","6252"
"2019-10-13","TS-21610","Troy Staebel","Consumer","GBC VeloBinder Electric Binding Machine","0.80","0.80","4256"
"2016-02-16","MN-17935","Michael Nguyen","Consumer","Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter","0.80","0.80","1334"
"2016-03-03","SC-20020","Sam Craven","Consumer","3.6 Cubic Foot Counter Height Office Refrigerator","0.80","0.80","7349"
"2017-04-28","RA-19915","Russell Applegate","Consumer","GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black","0.80","0.80","381"
"2018-12-19","BP-11050","Barry Pond","Corporate","Wilson Jones Easy Flow II Sheet Lifters","0.80","0.80","7792"
"2019-03-18","CD-11980","Carol Darley","Consumer","Ibico Hi-Tech Manual Binding System","0.80","0.80","680"
"2019-07-21","PT-19090","Pete Takahito","Consumer","Wilson Jones 1"" Hanging DublLock Ring Binders","0.80","0.80","9809"
"2019-09-02","JS-15595","Jill Stevenson","Corporate","Belkin 7-Outlet SurgeMaster Home Series","0.80","0.80","6904"
"2017-03-20","JK-15730","Joe Kamberova","Consumer","GBC Standard Plastic Binding Systems' Combs","0.80","0.80","4958"
"2018-08-04","RA-19285","Ralph Arnett","Consumer","Ibico Presentation Index for Binding Systems","0.80","0.80","2688"
"2018-09-24","MK-17905","Michael Kennedy","Corporate","GBC ProClick 150 Presentation Binding System","0.80","0.80","6263"
"2019-08-11","SF-20965","Sylvia Foulston","Corporate","Fellowes Twister Kit, Gray/Clear, 3/pkg","0.80","0.80","4029"
"2019-05-06","DB-13555","Dorothy Badders","Corporate","Avery Durable Poly Binders","0.80","0.80","4669"
"2017-09-05","CA-12055","Cathy Armstrong","Home Office","Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""","0.80","0.80","4490"
"2017-03-22","DB-13210","Dean Braden","Consumer","XtraLife ClearVue Slant-D Ring Binders by Cardinal","0.80","0.80","522"
"2016-12-22","NP-18700","Nora Preis","Consumer","Recycled Easel Ring Binders","0.80","0.80","6916"
"2019-03-26","HK-14890","Heather Kirkland","Corporate","Belkin 5 Outlet SurgeMaster Power Centers","0.80","0.80","7176"
"2019-03-02","SC-20770","Stewart Carmichael","Corporate","Wilson Jones Leather-Like Binders with DublLock Round Rings","0.80","0.80","1771"
"2016-12-27","NC-18415","Nathan Cano","Consumer","GBC Standard Therm-A-Bind Covers","0.80","0.80","8372"
"2019-12-23","JB-15400","Jennifer Braxton","Corporate","Wilson Jones International Size A4 Ring Binders","0.80","0.80","6997"
"2017-04-06","TT-21220","Thomas Thornton","Consumer","Fellowes Twister Kit, Gray/Clear, 3/pkg","0.80","0.80","2528"
"2019-12-02","JS-16030","Joy Smith","Consumer","3.6 Cubic Foot Counter Height Office Refrigerator","0.80","0.80","1996"
"2018-06-21","KB-16600","Ken Brennan","Corporate","Avery Durable Slant Ring Binders With Label Holder","0.80","0.80","8659"
"2018-04-21","SP-20545","Sibella Parks","Corporate","Kensington 4 Outlet MasterPiece Compact Power Control Center","0.80","0.80","1272"
"2019-03-02","RS-19765","Roland Schwarz","Corporate","Acco Suede Grain Vinyl Round Ring Binder","0.80","0.80","9293"
"2016-05-27","LE-16810","Laurel Elliston","Consumer","Fellowes Presentation Covers for Comb Binding Machines","0.80","0.80","1326"
"2019-10-14","AG-10765","Anthony Garverick","Home Office","Catalog Binders with Expanding Posts","0.80","0.80","5698"
"2018-11-22","JE-15475","Jeremy Ellison","Consumer","Wilson Jones Impact Binders","0.80","0.80","6083"
"2016-09-26","HG-14965","Henry Goldwyn","Corporate","Acco 3-Hole Punch","0.80","0.80","2107"
"2019-05-28","TH-21235","Tiffany House","Corporate","Storex Dura Pro Binders","0.80","0.80","8458"
"2019-04-21","SJ-20500","Shirley Jackson","Consumer","Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection","0.80","0.80","177"
"2018-09-26","LR-17035","Lisa Ryan","Corporate","Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup","0.80","0.80","9087"
"2019-12-11","DK-13375","Dennis Kane","Consumer","Hoover Commercial Lightweight Upright Vacuum","0.80","0.80","6990"
"2017-11-08","DB-13660","Duane Benoit","Consumer","Wilson Jones Leather-Like Binders with DublLock Round Rings","0.80","0.80","4569"
"2018-11-22","JE-15475","Jeremy Ellison","Consumer","Accohide Poly Flexible Ring Binders","0.80","0.80","6087"
"2019-04-21","RP-19390","Resi P�lking","Consumer","UniKeep View Case Binders","0.80","0.80","1104"
"2016-09-01","JL-15130","Jack Lebron","Consumer","Prestige Round Ring Binders","0.80","0.80","3194"
"2017-05-17","ON-18715","Odella Nelson","Corporate","GBC Twin Loop Wire Binding Elements","0.80","0.80","4289"
"2019-07-05","LS-16945","Linda Southworth","Corporate","Cardinal HOLDit! Binder Insert Strips,Extra Strips","0.80","0.80","4231"
"2017-08-24","CB-12025","Cassandra Brandow","Consumer","Avery Durable Plastic 1"" Binders","0.80","0.80","663"
"2018-05-21","AS-10285","Alejandro Savely","Corporate","Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue","0.80","0.80","7068"
"2016-06-07","BP-11095","Bart Pistole","Corporate","Wilson Jones Century Plastic Molded Ring Binders","0.80","0.80","394"
"2016-10-14","BD-11500","Bradley Drucker","Consumer","Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue","0.80","0.80","9065"
"2018-05-03","CB-12415","Christy Brittain","Consumer","Heavy-Duty E-Z-D Binders","0.80","0.80","4436"
"2018-08-22","DD-13570","Dorothy Dickinson","Consumer","GBC Standard Recycled Report Covers, Clear Plastic Sheets","0.80","0.80","4107"
"2016-12-12","CY-12745","Craig Yedwab","Corporate","GBC DocuBind 300 Electric Binding Machine","0.80","0.80","3142"
"2019-01-15","TB-21250","Tim Brockman","Consumer","Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue","0.80","0.80","6384"
"2018-10-13","HA-14920","Helen Andreada","Consumer","Avery Non-Stick Binders","0.80","0.80","2168"
"2017-07-02","RB-19435","Richard Bierner","Consumer","Belkin 8 Outlet Surge Protector","0.80","0.80","2508"
"2019-06-19","DB-13270","Deborah Brumfield","Home Office","GBC Plasticlear Binding Covers","0.80","0.80","9287"
"2018-04-21","SP-20545","Sibella Parks","Corporate","Performers Binder/Pad Holder, Black","0.80","0.80","1273"
"2016-06-06","SB-20170","Sarah Bern","Consumer","Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets","0.80","0.80","6301"
"2019-12-09","KB-16600","Ken Brennan","Corporate","Economy Binders","0.80","0.80","76"
"2017-11-22","HP-14815","Harold Pawlan","Home Office","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","0.80","0.80","15"
"2019-08-19","SC-20575","Sonia Cooley","Consumer","Binder Posts","0.80","0.80","4921"
"2017-09-26","SC-20725","Steven Cartwright","Consumer","Round Ring Binders","0.80","0.80","281"
"2017-10-18","KN-16705","Kristina Nunn","Home Office","Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection","0.80","0.80","6137"
"2016-08-15","KH-16510","Keith Herrera","Consumer","GBC Durable Plastic Covers","0.80","0.80","3295"
"2019-04-24","AF-10870","Art Ferguson","Consumer","Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity","0.80","0.80","8200"
"2018-12-09","RW-19630","Rob Williams","Corporate","Belkin 6 Outlet Metallic Surge Strip","0.80","0.80","4981"
"2016-09-12","PT-19090","Pete Takahito","Consumer","Wilson Jones Impact Binders","0.80","0.80","3161"
"2018-09-26","MH-17620","Matt Hagelstein","Corporate","GBC Recycled VeloBinder Covers","0.80","0.80","9414"
"2016-09-07","SZ-20035","Sam Zeldin","Home Office","Angle-D Binders with Locking Rings, Label Holders","0.80","0.80","5262"
"2019-11-04","FM-14290","Frank Merwin","Home Office","Self-Adhesive Ring Binder Labels","0.80","0.80","9225"
"2016-02-23","MG-17875","Michael Grace","Home Office","GBC Plastic Binding Combs","0.80","0.80","6531"
"2018-11-19","EH-13945","Eric Hoffmann","Consumer","GBC Standard Recycled Report Covers, Clear Plastic Sheets","0.80","0.80","1108"
"2019-06-19","ZC-21910","Zuschuss Carroll","Consumer","Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter","0.80","0.80","4101"
"2017-07-20","RA-19915","Russell Applegate","Consumer","Avery Durable Binders","0.80","0.80","4383"
"2018-09-11","AS-10090","Adam Shillingsburg","Consumer","Insertable Tab Indexes For Data Binders","0.80","0.80","6110"
"2019-06-22","JK-15730","Joe Kamberova","Consumer","Wilson Jones Standard D-Ring Binders","0.80","0.80","7283"
"2016-10-14","HG-15025","Hunter Glantz","Consumer","Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk","0.80","0.80","5756"
"2016-11-18","AB-10600","Ann Blume","Corporate","GBC White Gloss Covers, Plain Front","0.80","0.80","4131"
"2017-02-06","TS-21655","Trudy Schmidt","Consumer","UniKeep View Case Binders","0.80","0.80","8126"
"2018-06-24","DH-13075","Dave Hallsten","Corporate","Holmes HEPA Air Purifier","0.80","0.80","4704"
"2018-09-05","GH-14410","Gary Hansen","Home Office","Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red","0.80","0.80","4615"
"2018-11-14","KC-16540","Kelly Collister","Consumer","Binder Posts","0.80","0.80","4530"
"2017-12-10","JW-16075","Julia West","Consumer","3M Replacement Filter for Office Air Cleaner for 20' x 33' Room","0.80","0.80","7154"
"2017-05-31","JM-15265","Janet Molinari","Corporate","Storex Dura Pro Binders","0.80","0.80","9478"
"2017-04-18","MP-17965","Michael Paige","Corporate","GBC Plastic Binding Combs","0.80","0.80","9305"
"2019-09-30","SC-20050","Sample Company A","Home Office","GBC Instant Report Kit","0.80","0.80","9688"
"2019-04-30","TC-21475","Tony Chapman","Home Office","GBC Linen Binding Covers","0.80","0.80","4758"
"2016-05-25","JL-15235","Janet Lee","Consumer","Harmony Air Purifier","0.80","0.80","1819"
"2019-06-08","Dl-13600","Dorris liebe","Corporate","Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac","0.80","0.80","262"
"2019-01-02","TS-21655","Trudy Schmidt","Consumer","Hoover Commercial SteamVac","0.80","0.80","8362"
"2019-10-02","SC-20695","Steve Chapman","Corporate","Acco 6 Outlet Guardian Premium Plus Surge Suppressor","0.80","0.80","9421"
"2019-10-02","SC-20695","Steve Chapman","Corporate","Fellowes Superior 10 Outlet Split Surge Protector","0.80","0.80","9420"
"2019-10-07","JK-15730","Joe Kamberova","Consumer","Storex DuraTech Recycled Plastic Frosted Binders","0.80","0.80","4181"
"2019-11-11","TD-20995","Tamara Dahlen","Consumer","Deluxe Heavy-Duty Vinyl Round Ring Binder","0.80","0.80","902"
"2016-12-06","BK-11260","Berenike Kampe","Consumer","Bionaire 99.97% HEPA Air Cleaner","0.80","0.80","5094"
"2017-04-18","MP-17965","Michael Paige","Corporate","GBC Standard Recycled Report Covers, Clear Plastic Sheets","0.80","0.80","9300"
"2019-12-23","MM-17920","Michael Moore","Consumer","Acco 6 Outlet Guardian Premium Plus Surge Suppressor","0.80","0.80","3546"
"2017-11-22","HP-14815","Harold Pawlan","Home Office","Storex DuraTech Recycled Plastic Frosted Binders","0.80","0.80","16"
"2018-11-05","EP-13915","Emily Phan","Consumer","Storex Dura Pro Binders","0.80","0.80","4266"
"2019-08-29","CP-12085","Cathy Prescott","Corporate","Wilson Jones Easy Flow II Sheet Lifters","0.80","0.80","1944"
"2018-10-10","WB-21850","William Brown","Consumer","Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue","0.80","0.80","9836"
"2017-11-30","DB-13270","Deborah Brumfield","Home Office","GBC Instant Report Kit","0.80","0.80","2923"
"2019-06-19","ZC-21910","Zuschuss Carroll","Consumer","Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum","0.80","0.80","4102"
"2017-11-23","VB-21745","Victoria Brennan","Corporate","GBC Recycled Regency Composition Covers","0.80","0.80","1548"
"2017-07-12","RL-19615","Rob Lucas","Consumer","Tuff Stuff Recycled Round Ring Binders","0.80","0.80","4547"
"2016-08-25","JE-15715","Joe Elijah","Consumer","Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""","0.80","0.80","8460"
"2018-09-02","RD-19810","Ross DeVincentis","Home Office","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""","0.80","0.80","8679"
"2017-04-28","RA-19915","Russell Applegate","Consumer","Holmes Odor Grabber","0.80","0.80","379"
"2018-12-30","KD-16495","Keith Dawkins","Corporate","Avery Binding System Hidden Tab Executive Style Index Sets","0.80","0.80","4139"
"2017-11-15","DK-13225","Dean Katz","Corporate","Flexible Leather- Look Classic Collection Ring Binder","0.80","0.80","550"
"2017-11-29","AW-10840","Anthony Witt","Consumer","GBC Imprintable Covers","0.80","0.80","1568"
"2017-06-01","KE-16420","Katrina Edelman","Corporate","Avery Poly Binder Pockets","0.80","0.80","3969"
"2016-06-15","KL-16555","Kelly Lampkin","Corporate","Avery Premier Heavy-Duty Binder with Round Locking Rings","0.80","0.80","918"
"2019-09-22","SH-19975","Sally Hughsby","Corporate","Insertable Tab Post Binder Dividers","0.80","0.80","3212"
"2018-03-15","MY-18295","Muhammed Yedwab","Corporate","GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""","0.80","0.80","9921"
"2016-09-14","SC-20260","Scott Cohen","Corporate","Trimflex Flexible Post Binders","0.80","0.80","8436"
"2016-12-30","SP-20620","Stefania Perrino","Corporate","Acco Hanging Data Binders","0.80","0.80","3308"
"2017-08-25","MC-18100","Mick Crebagga","Consumer","Poly Designer Cover & Back","0.80","0.80","6798"
"2016-05-21","KH-16360","Katherine Hughes","Consumer","Ibico Plastic Spiral Binding Combs","0.80","0.80","9795"
"2016-07-26","LF-17185","Luke Foster","Consumer","GBC Instant Index System for Binding Systems","0.80","0.80","9779"
"2016-11-22","TC-21475","Tony Chapman","Home Office","Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""","0.80","0.80","3895"
"2016-05-11","HD-14785","Harold Dahlen","Home Office","Avery Arch Ring Binders","0.80","0.80","9591"
"2016-02-06","DL-13315","Delfina Latchford","Consumer","Avery Flip-Chart Easel Binder, Black","0.80","0.80","8981"
"2019-02-05","CB-12025","Cassandra Brandow","Consumer","Ibico Hi-Tech Manual Binding System","0.80","0.80","6567"
"2019-01-01","JM-15250","Janet Martin","Consumer","Fellowes Superior 10 Outlet Split Surge Protector","0.80","0.80","8076"
"2019-01-01","JM-15250","Janet Martin","Consumer","Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue","0.80","0.80","8075"
"2018-03-06","LC-16870","Lena Cacioppo","Consumer","Peel & Stick Add-On Corner Pockets","0.80","0.80","8983"
"2018-05-03","CB-12415","Christy Brittain","Consumer","Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors","0.80","0.80","4438"
"2019-10-21","SP-20920","Susan Pistek","Consumer","Belkin 8 Outlet SurgeMaster II Gold Surge Protector","0.80","0.80","4047"
"2016-11-18","JK-15730","Joe Kamberova","Consumer","Wilson Jones Turn Tabs Binder Tool for Ring Binders","0.80","0.80","7302"
"2018-03-08","SJ-20125","Sanjit Jacobs","Home Office","Pressboard Hanging Data Binders for Unburst Sheets","0.80","0.80","8506"
"2017-06-25","MV-17485","Mark Van Huff","Consumer","Avery Triangle Shaped Sheet Lifters, Black, 2/Pack","0.80","0.80","8034"
"2017-05-21","JE-15745","Joel Eaton","Consumer","Fellowes Basic Home/Office Series Surge Protectors","0.80","0.80","5248"
"2019-11-25","RO-19780","Rose O'Brian","Consumer","Fellowes Command Center 5-outlet power strip","0.80","0.80","8960"
"2019-11-12","LS-16975","Lindsay Shagiari","Home Office","Surelock Post Binders","0.80","0.80","3135"
"2018-08-18","NF-18385","Natalie Fritzler","Consumer","GBC Wire Binding Combs","0.80","0.80","6056"
"2016-09-03","MR-17545","Mathew Reese","Home Office","GBC VeloBinder Strips","0.80","0.80","8398"
"2016-02-21","TM-21010","Tamara Manning","Consumer","GBC Standard Plastic Binding Systems Combs","0.80","0.80","2883"
"2018-08-28","TP-21415","Tom Prescott","Consumer","Angle-D Binders with Locking Rings, Label Holders","0.80","0.80","4070"
"2017-08-23","TD-20995","Tamara Dahlen","Consumer","Holmes Odor Grabber","0.80","0.80","3097"
"2019-12-28","LO-17170","Lori Olson","Corporate","Computer Printout Index Tabs","0.80","0.80","6819"
"2016-12-26","CA-12265","Christina Anderson","Consumer","Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl","0.80","0.80","622"
"2018-08-29","RB-19465","Rick Bensley","Home Office","Avery Hidden Tab Dividers for Binding Systems","0.80","0.80","102"
"2017-08-06","RP-19270","Rachel Payne","Corporate","Avery Hole Reinforcements","0.80","0.80","9543"
"2016-09-08","LH-17020","Lisa Hazard","Consumer","GBC ProClick Punch Binding System","0.80","0.80","837"
"2019-11-04","FM-14290","Frank Merwin","Home Office","GBC Standard Plastic Binding Systems' Combs","0.80","0.80","9224"
"2019-08-18","RA-19915","Russell Applegate","Consumer","Ibico Plastic and Wire Spiral Binding Combs","0.80","0.80","1515"
"2016-12-14","CS-11845","Cari Sayre","Corporate","GBC VeloBind Cover Sets","0.80","0.80","9512"
"2017-08-05","AH-10690","Anna H�berlin","Corporate","Avery Self-Adhesive Photo Pockets for Polaroid Photos","0.80","0.80","5857"
"2019-06-24","MC-17635","Matthew Clasen","Corporate","Ibico Hi-Tech Manual Binding System","0.80","0.80","4083"
"2016-11-22","EH-14185","Evan Henry","Consumer","Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges","0.80","0.80","3394"
"2019-03-17","PO-19180","Philisse Overcash","Home Office","GBC Plasticlear Binding Covers","0.80","0.80","3379"
"2019-11-24","JG-15310","Jason Gross","Corporate","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","0.80","0.80","9217"
"2016-12-20","WB-21850","William Brown","Consumer","Belkin Premiere Surge Master II 8-outlet surge protector","0.80","0.80","6107"
"2019-09-17","SJ-20125","Sanjit Jacobs","Home Office","Wilson Jones �Snap� Scratch Pad Binder Tool for Ring Binders","0.80","0.80","7452"
"2019-11-19","NC-18415","Nathan Cano","Consumer","Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","0.80","0.80","5311"
"2019-01-15","TB-21250","Tim Brockman","Consumer","Acco D-Ring Binder w/DublLock","0.80","0.80","6387"
"2018-12-01","JM-15865","John Murray","Consumer","Acco 6 Outlet Guardian Premium Surge Suppressor","0.80","0.80","8113"
"2017-06-08","MG-17695","Maureen Gnade","Consumer","Hoover Shoulder Vac Commercial Portable Vacuum","0.80","0.80","9165"
"2019-11-14","TC-21295","Toby Carlisle","Consumer","Wilson Jones Legal Size Ring Binders","0.80","0.80","8875"
"2016-10-10","CM-12715","Craig Molinari","Corporate","Avery Non-Stick Binders","0.80","0.80","7549"
"2019-07-05","LS-16945","Linda Southworth","Corporate","Tuf-Vin Binders","0.80","0.80","4234"
"2017-04-02","CS-11845","Cari Sayre","Corporate","Aluminum Screw Posts","0.80","0.80","4046"
"2018-11-05","EP-13915","Emily Phan","Consumer","Premium Transparent Presentation Covers by GBC","0.80","0.80","4268"
"2016-09-07","SS-20410","Shahid Shariari","Consumer","Avery Heavy-Duty EZD View Binder with Locking Rings","0.80","0.80","9480"
"2016-10-10","CM-12715","Craig Molinari","Corporate","GBC Personal VeloBind Strips","0.80","0.80","7548"
"2019-09-11","CC-12475","Cindy Chapman","Consumer","Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags","0.80","0.80","7495"
"2016-10-20","LS-16975","Lindsay Shagiari","Home Office","Satellite Sectional Post Binders","0.80","0.80","6557"
"2018-06-12","AW-10930","Arthur Wiediger","Home Office","APC 7 Outlet Network SurgeArrest Surge Protector","0.80","0.80","8717"
"2016-07-26","LF-17185","Luke Foster","Consumer","GBC Premium Transparent Covers with Diagonal Lined Pattern","0.80","0.80","9777"
"2016-09-07","SS-20410","Shahid Shariari","Consumer","Ibico Hi-Tech Manual Binding System","0.80","0.80","9481"
